123,Don Quijote de La Mancha,Miguel de Cervantes,1605
276,El Hobbit,J.R.R. Tolkien,1937
187,Sueño en el pabellon rojo,Cao Xueqin,1792
253,Las aventuras de Alicia en el pais de las maravillas,Lewis Carroll,1865
117,Diez negritos,Agatha Christie,1939
251,El leon la bruja y el ropero,C.S. Lewis,1950
138,Ella,H. Rider Haggard,1887
328,El codigo Da Vinci,Dan Brown,2003
289,El alquimista,Paulo Coelho,2000
154,El camino a Cristo,Ellen G. White,1892
200,Heidi,Johanna Spyri,1880
234,Azabache,Anna Sewell,1877
119,El nombre de la rosa,Umberto Eco,1982
